portalName,section,area,region,state,communities
"Region 1476",3,B,1476,Ne,"GREENVILLE, MASON, NEW IPSWICH"
"Region 148",10,W,148,Ca,"OXNARD, PORT HUENEME, OXNARD SOUTH"
"Region 1481",8,G,1481,Mi,"ALBEE, BIRCH RUN, BRIDGEPORT, BURT, CHESANING"
"Region 1482",6,H,1482,Mi,"WILLOW SPRINGS"
"Region 1487",14,L,1487,Fl,"APOLLO BEACH, BALM, GIBSONTON, RIVERVIEW, RUSKIN, SUN CITY CENTER, SUNDANCE, WIMAUMA"
"Region 149",2,S,149,Or,"CORVALLIS, PHILOMATH, NEWPORT, DALLAS"
"Region 1494",12,E,1494,Te,"BROWNSVILLE, HARLINGEN, LOS FRESNOS, OLMITO, PORT ISABEL, SOUTH PORT ISABEL"
"Region 1499",13,A,1499,Pe,"BROADTOP AREA, SAXTON AREA"
"Region 15",1,F,15,Ca,"CARSON, HARBOR CITY, LOMITA, TORRANCE, WILMINGTON, GARDENA"
"Region 150",2,F,150,Ca,"BENTON, BIG PINE, BISHOP, ROUND VALLEY"
"Region 1505",11,R,1505,Ca,"EAST CARLSBAD, SAN ELIJO, SAN MARCOS WEST, OLD CREEK RANCH"
"Region 1508",1,R,1508,Ca,"FRENCH VALLEY, MURRIETA, RANCHO CALIFORNIA, RED HAWK, TEMECULA, WILDOMAR, WINCHESTER, MENIFEE"
"Region 1509",12,G,1509,Ok,"CHECOTAH, EUFAULA, STIDHAM"
"Region 151",9,R,151,Ut,"RIVERDALE, SOUTH OGDEN, SOUTH WEBER, UINTAH, WASHINGTON TERRACE, SOUTH WEBER COUNTY"
"Region 1510",10,A,1510,Ca,"ALLENSWORTH, DELANO, EARLIMART, MCFARLAND, RICHGROVE"
"Region 1511",12,A,1511,Ar,PATAGONIA
"Region 1512",6,B,1512,Mi,"ELK RIVER, OTSEGO, ROGERS, ST. MICHAEL, ZIMMERMAN, DAYTON, MAPLE GROVE, ALBERTVILLE, CHAMPLIN, CORCORAN"
"Region 1514",3,L,1514,Ne,"FERNDALE, LEW BEACH, LIBERTY, LIVINGSTON MANOR, LOCH SHELDRAKE, PARKSVILLE, SWAN LAKE, WHITE SULPHUR SPRING"
"Region 1516",6,F,1516,Il,"CHIACTOWN, GAF, SOUTH LOOP"
"Region 1517",3,L,1517,Ne,"BETHEL, BLOOMINGBURG, BURLINGHAM, ELLENVILLE, FORESTBURGH, HARRIS, KAUNEONGA LAKE, KENOZA LAKE, KIAMESHA LAKE, MONGAUP VALLEY, MONTICELLO, PHILLIPSPORT, PINE BUSH, PORT JERVIS, SMALLWOOD, SUMMITVILLE, THOMPSON, WESTBROOKVILLE, WHITE LAKE, WURTSBORO"
"Region 152",11,R,152,Ca,"TIERRASANTA, MURPHY CANYON, MISSION VALLEY, ALLIED GARDENS, DEL CERRO, KENSINGTON, CITY HEIGHTS, TALMADGE, CLAIREMONT, KEARNY MESA, LINDA VISTA, UNIVERSITY CITY, GRANTVILLE"
"Region 1520",9,B,1520,Ut,"ALTAMONT, ALTONAH, BLUEBELL, DUCHESNE, FRUITLAND, MTN. HOME, TABIONA, TALMAGE"
"Region 1521",14,I,1521,Fl,"ACREAGE, LOXAHATCHEE, ROYAL PALM BEACH, WEST PALM BEACH"
"Region 1522",12,C,1522,Ne,"GILMAN, JEMEZ PUEBLO, JEMEZ SPRINGS, LA CUEVA, PONDEROSA, SAN YSIDRO, ZIA PUEBLO"
"Region 1523",8,A,1523,Mi,"FREMONT, HESPERIA, WHITE CLOUD, BITELY"
"Region 1525",5,B,1525,Ke,SOMERSET
"Region 1526",10,A,1526,Ca,BAKERSFIELD
"Region 1527",11,Z,1527,Ca,"COMPTON, LOS ANGELES"
"Region 153",12,A,153,Ar,"TUCSON NORTHEAST, TUCSON SOUTHEAST, VAIL, CORONA DE TUCSON"
"Region 1531",14,I,1531,Fl,"BELLE GLADE"
"Region 1533",9,R,1533,Ut,"SYRACUSE, WEST POINT"
"Region 1534",2,C,1534,Ca,PLEASANTON
"Region 1535",5,D,1535,Te,"BRIGHTON, MUNFORD, MILLINGTON, COVINGTON, MASON, DRUMMONDS, ATOKA"
"Region 1536",3,L,1536,Ne,"BRADLEY, FALLSBURG, GRAHAMSVILLE, LIBERTY, LOCH SHELDRAKE, NAPANOCH, NEVERSINK, WOODBOURNE"
"Region 1537",12,G,1537,Ok,"BURNS FLAT, CANUTE, ELK CITY, SAYRE, WHEELER, CHEYENNE, REYDON, HAMMON, LEEDEY"
"Region 1538",9,M,1538,Mo,WHITEHALL
"Region 1539",13,A,1539,Pe,"CLAYSBURG, DUNCANSVILLE, EAST FREEDOM, MARTINSBURG, ROARING SPRING, WILLIAMSBURG"
"Region 154",11,E,154,Ca,"ANAHEIM WEST, BUENA PARK, CYPRESS, LA PALMA, STANTON"
"Region 1543",12,E,1543,Te,"COOPERAS COVE, FT HOOD, HARKER HEIGHTS, KILLEEN"
"Region 1546",3,G,1546,Ne,"DAY, HADLEY, LUZERNE, STONY CREEK"
"Region 1547",3,G,1547,Ne,"CHARLESTON, DUANESBURG, FLORIDA, KNOX, PRINCETOWN, SCHOHARIE, WRIGHT, DELANSON"
"Region 1548",14,I,1548,Fl,WELLINGTON
"Region 155",7,E,155,Ha,WAHIAWA
"Region 1551",3,L,1551,Ne,"ELDRED, NARROWSBURG"
"Region 1553",9,B,1553,Co,"COLORADO SPRINGS"
"Region 1555",3,B,1555,Rh,"COVENTRY, GREENE, WEST GREENWICH, WEST WARWICK"
"Region 1556",6,B,1556,Wi,"BALSAM LAKE, CENTURIA, MILLTOWN, SAINT CROIX"
"Region 1557",13,A,1557,Pe,"BARR TWP, CHERRY TREE, NORTHERN CAMBRIA, SUSQUEHANA TWP, WEST CARROL TWP, WESTOUEN"
"Region 1559",6,N,1559,Ne,"ALDA, AURORA, CAIRO, DONIPHAN, GRAND ISLAND, ST PAUL, ST. LIBERTY, WOOD RIVER"
"Region 1560",14,I,1560,Fl,"LAKE PLACID"
"Region 1561",5,G,1561,Te,"BENTON, DELANO, OCOEE, OLD FORT, POLK COUNTY"
"Region 1563",3,E,1563,Ne,"CANASTOTA, OTHER, PERRYVILLE, SOUTH BAY, WHITELAW, CHITTENANGO, MORRISVILLE"
"Region 1564",9,R,1564,Wy,"LYMAN, MOUNTAIN VIEW, ROBERTSON, FORT BRIDGER, URIE"
"Region 1566",14,A,1566,Fl,"AVENTURA, NORTH MIAMI, SOUTH MIAMI, SUNNY ISLES BEACH, SURFSIDE"
"Region 1567",1,P,1567,Ca,"ECHO PARK, LOS FELIZ, SILVER LAKE, METRO LOS ANGELES, HANCOCK PARK, ATWATER VILLAGE"
"Region 157",2,B,157,Ca,PACIFICA
"Region 1572",3,B,1572,Ma,"GREENDALE, WORCESTER"
"Region 1574",14,L,1574,Fl,"DONA VISTA, LEESBURG, UMATILLA"
"Region 1575",14,A,1575,Fl,"DORAL, MEDLEY, SO. MIAMI"
"Region 158",8,C,158,Mi,"ST. CLAIR SHORES"
"Region 1580",14,A,1580,Fl,DORAL
"Region 1581",6,H,1581,Il,"AMBOY, SUBLETTE, HARMON, ELDENA, MENDOTA, LAMOILLE, VAN ORIN, OHIO, FRANKLIN GROVE, ASHTON, DIXON"
"Region 1582",6,B,1582,Wi,"SPOONER, SHELL LAKE, MINOG, TREGO"
"Region 1584",7,A,1584,Ha,"HAWAIIAN OCEAN EST, NAALEHU, WALOHINO, PAHALA"
"Region 1585",12,E,1585,Te,"YOAKUM COUNTY, PLAINS, DENVER CITY, SEMINOLE, SEAGRAVES"
"Region 1586",5,H,1586,Al,"ECLECTIC, MILLBROOK, WETUMPKA, TALLASSEE, DEATSVILLE, ELMORE COUNTY, HOLTVILLE, COOSADA"
"Region 1587",8,F,1587,Mi,"HAWKS, MILLERSBURG, OCQUEOC, ONAWAY, OSSINEKE, PRESQUE ISLE, POSEN, ROGERS CITY"
"Region 1589",9,M,1589,Mo,"ROUNDUP, MELSTONE, LAVINA, DELPHIA"
"Region 159",11,E,159,Ca,"LOS ALAMITOS, ROSSMOOR, SEAL BEACH"
"Region 1590",2,J,1590,Ca,"MT HAMILTON, EVERGREEN, SAN JOSE, ALUM ROCK, EAST SAN JOSE, SOUTH SAN JOSE"
"Region 1592",13,I,1592,Ma,"HANOVER, WESTMINSTER, HAMPSTEAD, MANCHESTER, GLENVILLE, ABBOTTSTOWN, SPRING GROVE"
"Region 1593",2,D,1593,Ca,"WILLIAMS, COLUSA, ARBUKLE, MAXWELL"
"Region 1594",2,J,1594,Ca,"SANTA CRUZ"
"Region 1595",1,P,1595,Ca,"WATTS, MANCHESTER SQUARE, ATHENS, EXPOSITION PARK, LOS ANGELES, VERNON, COMPTON"
"Region 1596",11,V,1596,Ca,"ALLIED GARDENS, SAN DIEGO"
"Region 1597",8,A,1597,Mi,"REMUS, MECOSTA, BARRYTON, CANADIAN LAKES, WEIDMAN, CHIPPEWA LAKE, LAKE ISABELLA, RODNEY, EVART, LAKE STATION, LAKE, SEARS"
"Region 1598",12,E,1598,Te,"WALLIS, ORCHARD, SIMONTON, FULSHEAR"
"Region 16",1,F,16,Ca,"GARDENA, LAWNDALE, NORTH REDONDO, TORRANCE NORTH, CARSON, HAWTHORNE, E INGLEWOOD"
"Region 160",5,C,160,Al,"BROWNSBORO, GURLEY, HAMPTON COVE, HUNTSVILLE, LACEYS SPRINGS, NEW HOPE, OWENS CROSS ROADS, TRIANA, MADISON"
"Region 1600",3,A,1600,Ne,"ENGLEWOOD, ENGLEWOOD CLIFFS, TENAFLY, TEANECK, BERGENFIELD"
"Region 1602",9,I,1602,Id,REXBURG
"Region 1603",5,H,1603,Fl,"PENSACOLA, BAKER, CRESTVIEW, FLORALA, NICEVILLE, LAUREL HILL, DEFUNIAK SPGS"
"Region 1604",2,C,1604,Ca,MANTECA
"Region 1605",1,R,1605,Ca,"EASTVALE, NORCO, CORONA"
"Region 1607",9,M,1607,Mo,"BRADY, GORDON, PENDROY, CONRAD"
"Region 1608",12,C,1608,Ne,"PORTALES, ARCH, CAUSEY, DORA, FLOYD, ELIDA"
"Region 1609",80,Z,1609,Wa,"SEA TAC, SEATTLE, NORMANDY PARK, BURIEN, DES MOINES, MCMIKEN HEIGHTS, RIVERTON, TUKWILA, KENT"
"Region 161",8,C,161,Mi,"CLYDE TWP, FORT GRATIOT, GOODELLS, KIMBALL, LAKEPORT, LEXINGTON, MARYSVILLE, NORTH STREET, PORT HURON, SMITHS CREEK, ST. CLAIR, AVOCA, EMMETT, JEDDO"
"Region 1610",10,Q,1610,Ca,"ATASCADERO, SANTA MARGARITA, CRESTON, TEMPELTON"
"Region 1612",5,G,1612,Ge,"ATLANTA, GRANT PARK, SAND NEIGHBORHOODS, EAST ATLANTA, EAST LAKE, KIRKWOOD, CABBAGETOWN, OLD FOURTH WARD, ORMEWOOD PARK, CANDLER PARK, INMAN PARK, SUMMERHILL, PEOPLESTOWN"
"Region 1613",5,B,1613,Te,"JOHNSON CITY, ESTU, GRAY"
"Region 1614",13,I,1614,Pe,"BLAIRS MILLS, SHADY GAP, EAST WATERFORD, NEELYTON"
"Region 1615",5,G,1615,Te,"SPRING CITY"
"Region 1617",2,E,1617,Ne,"WHITE PINE COUNTY, CHERRY CREEK, CURRIE, ELY, ELY COLONY, PRESTON, LUND, LANE, MCGILL, STEPTOE"
"Region 1618",12,E,1618,Te,"HIGHLAND, BAYTOWN, CROSBY"
"Region 1624",14,I,1624,Fl,"DEERFIELD BEACH, DEERFIELD BCH"
"Region 1625",8,D,1625,Mi,"ALBION, SPRINGPORT, HOMER, CONCORD, MARSHALL"
"Region 1626",14,L,1626,Fl,"KISSIMMEE, ORLANDO, FOUR CORNERS, WINDERMERE, ST CLOUD, OVIEDO, HUNTERS CREEK, DOCTOR PHILLIPS, LAKE NONA, CELEBRATION, ORLANDA"
"Region 163",6,A,163,Il,"FORT SHERIDAN, GREAT LAKES NAVAL BA, HIGHWOOD, LAKE BLUFF, LAKE FOREST"
"Region 1630",14,I,1630,Fl,"PARRISH, BRADENTON, ELLENTON, WIMAUMA, DUETTE"
"Region 1631",2,J,1631,Ca,"SAN JOSE, ALUM ROCK, MILIPITAS, SANTA CLARA, WILLOW GLEN, DOWNTOWN SAN JOSE, ALVISO, EAST SAN JOSE, BERRYESSA, NORTH SAN JOSE"
"Region 1632",3,T,1632,Ne,"WHITE PLAINS, SCARSDALE, HARTSDALE, PORT CHESTER, RYE, YONKERS"
"Region 1634",8,J,1634,Mi,"GRAND RAPIDS, WYOMING, STANDALE, CUTLERVILLE, KENTWOOD"
"Region 1635",14,B,1635,TT,"TABAQUITE, BROTHERS ROAD"
"Region 1637",2,F,1637,Ne,"MOUND HOUSE, SILVER SPRINGS, VIRGINIA CITY, DAYTON"
"Region 1638",1,G,1638,Ca,"SAN BERNARDINO, DEVORE, LYTLE CREEK, MUSCOY, FONTANA, ROSENA RANCH"
"Region 1639",14,I,1639,Fl,JUPITER
"Region 1640",12,D,1640,Ar,SCOTTSDALE
"Region 1641",1,N,1641,Ca,"AGUANGA, ANZA"
"Region 1642",5,H,1642,Al,"CLANTON, JEMISON, THORSBY, VERBENA, MAPLESVILLE, STANTON"
"Region 1643",14,L,1643,Fl,"POLK COUNTY, HAINES CITY, DUNDEE, LAKE ALFRED, DAVENPORT, CYPRESS GARDENS, WINTER HAVEN, KISSIMMEE, CLEMONT, CELEBRATION, REUNION"
"Region 1644",3,L,1644,Ne,"FALLSBURG, LOCH SHELDRAKE, MOUNTAIN DALE, MOUNTAINDALE, SOUTH FALLSBURG, S FALLSBURG"
"Region 1645",2,C,1645,Ca,"STANISLAUS COUNTY, SAN JOAQUIN COUNTY, EMPIRE, ESCALON, MODESTO, OAKDALE, KNIGHTS FERRY, VALLEY HOME, RIVERBANK, SALIDA"
"Region 1646",6,A,1646,Wi,"RACINE, S MILWAUKEE, SOUTH MILWAUKEE, OAK CREEK, FRANKLIN, NORTH BAY, WINDPOINT, STURTEVANT, UNION GROVE, YORKVILLE, CALEDONIA, FRANKSVILLE, RAYMOND, NORTH CAPE, KENOSHA, SOMERS"
"Region 1647",1,P,1647,Ca,"LOS ANGELES, WEST ADAMS, MID CITY, MID WILSHIRE"
"Region 1648",8,F,1648,Mi,WHITTEMORE
"Region 1649",5,G,1649,Ge,"SOUTH FULTON COUNTY, METRO ATLANTA, FAIRBURN, COLLEGE PARK, UNION CITY, DOUGLASVILLE, CLAYTON COUNTY"
"Region 165",1,N,165,Ca,"CRESTLINE, GREEN VALLEY LAKE, LAKE ARROWHEAD, MOUNTAIN RESORTS, RUNNING SPRINGS"
"Region 1650",2,J,1650,Ca,FREEMONT
"Region 1651",80,Z,1651,Ca,COACHELLA
"Region 1652",5,G,1652,Te,"TELLICO PLAINS, TELLICO PLNS"
"Region 1653",10,O,1653,Ca,HANFORD
"Region 1654",12,D,1654,Ar,"PHOENIZ, GOODYEAR, AVONDALE, SURPRISE"
"Region 1656",11,R,1656,Ca,"CARLSBAD, OCEANSIDE"
"Region 166",2,E,166,Ne,"RENO, SPARKS"
"Region 168",11,V,168,Ca,"ALPINE, EL CAJON, JAMUL, LA MESA, LAKESIDE, RANCHO SAN DIEGO, SANTEE, SPRING VALLEY"
"Region 169",8,G,169,Mi,"BURTON, FENTON, FLINT, GOODRICH, GRAND BLANC AREA, HOLLY"
"Region 17",1,D,17,Ca,"HAWTHORNE, HERMOSA BEACH, INGLEWOOD, LAWNDALE, MANHATTAN BEACH, REDONDO BEACH NORTH, TORRANCE NORTH"
"Region 172",12,B,172,Ar,"DEWEY, HUMBOLDT, KIRKLAND, MAYER, PAULDEN, PRESCOTT, PRESCOTT VALLEY"
"Region 174",10,V,174,Ca,"ARLETA, CHATSWORTH, GRANADA HILLS, LAKE VIEW TERR, MISSION HILLS, NORTH HILLS, NORTHRIDGE, PACOIMA, SAN FERNANDO, SHADOW HILLS, SUN VALLEY, SYLMAR, VAN NUYS, PORTER RANCH"
"Region 176",8,D,176,Mi,"CHARLOTTE, EATON RAPIDS, GRAND LEDGE, LANSING, OLIVET, POTTERVILLE, WAVERLY"
"Region 177",11,E,177,Ca,"BELMONT SHORE, LONG BEACH, LOS ALTOS"
"Region 178",7,O,178,Ha,"HONOLULU, KAIMUKI, KALIHI, KAPAHULU, KAPALAMA, KAPIOLANI, MAKIKI, MANOA, MOILIILI, PALAMA, PALOLO, WAIKIKI"
"Region 18",1,D,18,Ca,"HERMOSA BEACH, MANHATTAN BEACH, REDONDO BEACH"
"Region 180",10,Q,180,Ca,"BALLARD, BUELLTON, GAVIOTA, LOS ALAMOS, LOS OLIVOS, SANTA YNEZ, SOLVANG"
"Region 181",10,A,181,Ca,"BAKERSFIELD, KERN  COUNTY, EDISON, OILDALE, BAKERSFIELD NE, LAMONT, ARVIN, NORTHEAST BAKERSFLD"
"Region 183",6,D,183,Il,"CHICAGO NORTHWEST, EUGENE FIELD PARK, GOMPERS PARK, GREEN BRIAR PARK, HARWOOD HEIGHTS, HOLLYWOOD PARK, LINCOLNWOOD, NORWOOD PARK, PETERSON PARK, RIVER PARK, SKOKIE, SAUGANASH, EDGEBROOK, WILDWOOD, NORTH PARK, JEFFERSON PARK"
"Region 184",6,C,184,Il,"BATAVIA, CAROL STREAM, ST. CHARLES, WARRENVILLE, WAYNE, WEST CHICAGO, WINFIELD, BARTLETT"
"Region 186",3,B,186,Co,TRUMBULL
"Region 187",1,R,187,Ca,"MORENO VALLEY, RANCHO BELAGO, SUNNYMEAD RANCH, MORENO VALLEY RANCH, EDGEMONT"
"Region 188",7,E,188,Ha,"AMR, CAMP SMITH, FT SHAFTER, MCGREW POINT, PEARL CITY PENINSULA, PEARL HARBOR, RED HILL, AIEA, HICKAM FIELD"
"Region 19",1,P,19,Ca,"BALDWIN HILLS, CULVER CITY, MAR VISTA, PALMS, WEST LOS ANGELES, PLAYA VISTA"
"Region 190",8,C,190,Mi,"CLINTON TOWNSHIP, MACOMB, SHELBY TOWNSHIP, TROY, UTICA, STERLING HEIGHTS"
"Region 191",14,A,191,Fl,"SUNSET PARK"
"Region 193",6,H,193,Il,"CORTLAND, CRESTON, DE KALB, EARLVILLE, HINCKLEY, LEE, MALTA, PAW PAW, SHABBONA, SOMONAUK, STEWARD, WATERMAN"
"Region 194",13,I,194,Pe,"GETTYSBURG, FAIRFIELD, BIGLERVILLE, LITTLESTOWN, NEW OXFORD, HANOVER, EMMITSBURG"
"Region 195",8,C,195,Mi,"CHESTERFIELD, CHESTERFIELD TWP, NEW BALTIMORE, NEW HAVEN"
"Region 198",9,R,198,Ut,"CLEARFIELD, CLINTON, HILL AIR FORCE BASE, SUNSET, WEST POINT"
"Region 199",3,T,199,Ne,PLEASANTVILLE
"Region 2",1,C,2,Ca,"ARCADIA, DUARTE, MONROVIA, PASADENA - EAST, SIERRA MADRE"
"Region 20",1,P,20,Ca,"MAR VISTA, MARINA DEL REY, SANTA MONICA, VENICE"
"Region 200",3,T,200,Ne,"BREWSTER, NORTH SALEM, SOMERS, SOUTH SALEM, CROTON FALLS"
"Region 201",3,T,201,Ne,OSSINING
"Region 202",3,T,202,Ne,"BRIARCLIFF MANOR"
"Region 204",3,T,204,Ne,"BANKSVILLE, BEDFORD CORNERS, MT. KISCO, NEW CASTLE, NORTH CASTLE, NORTH WHITE PLAINS, PLEASANTVILLE, THORNWOOD"
"Region 205",8,C,205,Mi,"BROWNSTOWN, FLATROCK, GROSSE ILE, RIVERVIEW, ROCKWOOD, ROMULUS, TRENTON, WOODHAVEN, WYANDOTTE, ALLEN PARK, LINCOLN PARK, TAYLOR, NEW BOSTON, GIBRALTER"
"Region 206",12,A,206,Ar,"MARANA, TUCSON"
"Region 208",6,U,208,Ka,"ANDALE, COLWICH, GODDARD, MAIZE, WICHITA WEST"
"Region 21",1,D,21,Ca,"HAWTHORNE, LAWNDALE, LENNOX"
"Region 210",6,C,210,Il,"BURR RIDGE, CLARENDON HILLS, HINSDALE, OAK BROOK, WESTMONT, WILLOWBROOK"
"Region 211",8,B,211,Mi,"KALAMAZOO, OSHTEMO, PARCHMENT"
"Region 212",8,B,212,Mi,"AUGUSTA, CLIMAX, COMSTOCK, DELTON, GALESBURG, RICHLAND, SCOTTS"
"Region 213",11,Q,213,Ca,"IRVINE NORTH, TUSTIN, TUSTIN RANCH, PORTOLA SPRINGS, WOODBURY, STONEGATE"
"Region 214",1,C,214,Ca,"PASADENA, SAN MARINO, SOUTH PASADENA, LOS ANGELES, SAN GABRIEL"
"Region 215",1,U,215,Ca,"HACIENDA HEIGHTS, LA PUENTE, ROWLAND HEIGHTS, WALNUT"
"Region 216",12,A,216,Ar,"FT. THOMAS, GRAHAM COUNTY, PIMA, SAFFORD, SOLOMON, THATCHER"
"Region 217",12,A,217,Ar,"DAVIS MONTHAN AFB, TUCSON SOUTHEAST, VAIL"
"Region 218",2,D,218,Ca,DAVIS
"Region 220",3,T,220,Ne,"SLEEPY HOLLOW, TARRYTOWN, ELMSFORD"
"Region 221",3,T,221,Ne,"MT PLEASANT, NORTH WHITE PLAINS, THORNWOOD, POCANTICO HILLS, MT PLEASANT SCHOOLS, VALHALLA SCHOOLS"
"Region 222",3,E,222,Ne,"NEW HARTFORD, NEW YORK MILLS"
"Region 223",2,C,223,Ca,"BAY POINT, CLAYTON, CONCORD, PITTSBURG, WALNUT CREEK, PLEASANT HILL, MARTINEZ"
"Region 224",12,A,224,Ar,"TUCSON SOUTHWEST, TUCSON"
"Region 225",12,D,225,Ar,"AVONDALE, BUCKEYE, EL MIRAGE, ESTRELLA MOUNTAIN, GOODYEAR, LITCHFIELD PARK, SURPRISE, TOLLESON, TONOPAH, VERRADO, WADDELL, WEST PHX"
"Region 23",1,U,23,Ca,"BALDWIN PARK, BASSETT, EAST WHITTIER, HACIENDA HEIGHTS, LA PUENTE, ROWLAND HEIGHTS, WHITTIER"
"Region 232",12,B,232,Ar,"VERDE VALLEY"
"Region 234",11,V,234,Ca,"ALPINE, EL CAJON, LAKESIDE, SANTEE, RAMONA"
"Region 239",9,R,239,Ut,LAYTON
"Region 24",11,Z,24,Ca,DOWNEY
"Region 240",3,T,240,Ne,"ARDSLEY, IRVINGTON, TARRYTOWN"
"Region 242",10,W,242,Ca,"FILLMORE, PIRU, RANCHO SESPE"
"Region 244",6,D,244,Il,"ARLINGTON HEIGHTS, HOFFMAN ESTATES, PALATINE, ROLLING MEADOWS, SCHAUMBURG"
"Region 248",6,N,248,Ne,"ALBION, BELLWOOD, COLUMBUS, DUNCAN, GENOA, HUMPHREY, MONROE, OSCEOLA, PLATTE CENTER, RICHLAND, RISING CITY, SHELBY, STROMSBURG"
"Region 249",2,B,249,Ca,"SAN BRUNO, SOUTH SAN FRANCISCO, DALY CITY, PACIFICA, MILLBRAE"
"Region 25",2,A,25,Ca,"LA HONDA, PORTOLA VALLEY, WOODSIDE"
"Region 250",8,E,250,Mi,"DECATUR, GOBLES, LAWTON, PAW PAW, LAWRENCE, BLOOMINGDALE"
"Region 251",3,T,251,Ne,"BEDFORD HILLS, BEDFORD VILLAGE, KATONAH, MT KISCO, POUND RIDGE, CHAPPAQUA, BREWSTER, LINCOLNDALE"
"Region 253",6,U,253,Ka,"BENTLEY, HALSTEAD, KECHI, NEWTON, PARK CITY, SEDGWICK, VALLEY CENTER, WHITEWATER"
"Region 254",10,V,254,Ca,"BURBANK, GLENDALE, NORTH HOLLYWOOD, SHADOW HILLS, SUN VALLEY, SUNLAND, TOLUCA LAKE, TUJUNGA"
"Region 255",10,O,255,Ca,"TIPTON, TULARE, VISALIA"
"Region 256",2,J,256,Ca,"AROMAS, CASTROVILLE, HOLISTER, MARINA, MONTEREY NORTH, MOSS LANDING, NORTH MONTEREY COUNT, PAJARO, PRUNEDALE, ROYAL OAKS, SALINAS"
"Region 257",12,B,257,Ar,"FLAGSTAFF, GRAND CANYON, WILLIAMS, BELLEMONT, PARKS, MUNDS PARK"
"Region 258",11,S,258,Ca,"LA MESA, LEMON GROVE, SPRING VALLEY"
"Region 26",2,A,26,Ca,"PALO ALTO, EAST PALO ALTO, LOS ALTO HILLS, STANFORD UNIVERSITY"
"Region 266",3,A,266,Ne,"BROOKLYN-SOUTH, QUEENS, MARINE PARK, MILL BASIN, MADISON, MIDWOOD, BRIGHTON BEACH, MANHATTAN BEACH, CONEY ISLAND, GRAVESEND, BENSONHURST, HOMECREST, GERRITSEN BEACH, OCEAN PARKWAY, FLATBUSH, FLATLANDS, ROCKAWAY, BAY RIDGE, SHEEPSHEAD BAY, FARRAGUT, SUNSET PARK, STARRETT CITY, CANARSIE"
"Region 269",7,E,269,Ha,"BARBERS POINT, HONOKAI HALE, IROQUOIS POINT, KALAELOA, KAPOLEI, MAILI, MAKAHA, MAKAKILO, NANAKULI, WAIANAE"
"Region 27",2,J,27,Ca,"CAMPBELL, CUPERTINO, LOS GATOS, MONTE SERENO, SARATOGA, WEST SAN JOSE"
"Region 272",12,E,272,Te,"ANTHONY, CANUTILLO, UNIVERSITY AREA, WEST SIDE EL PASO"
"Region 273",12,B,273,Ar,"ALPINE, EAGAR, GREER, NUTRIOSO, RESERVE, SPRINGERVILLE"
"Region 274",7,A,274,Ha,"HILO, HONOMU, KEAAU, KURTISTOWN, LAUPAHOEHOE, MT. VIEW, PAHOA, PAPAIKOU, PEPEEKEO, VOLCANO"
"Region 275",5,B,275,Te,"CEDAR BLUFF, KARNS, KNOX COUNTY WEST, HARDIN VALLEY, BALL CAMP"
"Region 277",8,B,277,Mi,"FREEPORT, MIDDLEVILLE, T.K. SCHOOLS, HASTINGS, WAYLAND, DELTON"
"Region 279",5,B,279,Te,"BEARDEN, KNOXVILLE W, LAKESHORE, LYONS BEND, NORTHSHORE, ROCKY HILL, SEQUOYAH HILLS, UT &AMP; FORT SANDERS, WEST HILLS"
"Region 28",11,E,28,Ca,"ANAHEIM, GARDEN GROVE, MIDWAY CITY, SANTA ANA, STANTON, WESTMINSTER, FULLERTON"
"Region 281",2,C,281,Ca,"CONCORD, MARTINEZ, PACHECO, PLEASANT HILL, WALNUT CREEK"
"Region 282",2,F,282,Ca,"LAKE TAHOE SOUTH, ZEPHYR COVE, STATELINE"
"Region 283",8,G,283,Mi,"CORUNNA, FLINT, FLUSHING, MOUNT MORRIS, NEW LOTHROP"
"Region 285",11,R,285,Ca,"CARMEL MTN. RANCH, MIRA MESA, MIRAMAR, POWAY, RANCHO PENASQUITOS, SABER SPRING, SCRIPPS, SORRENTO MESA"
"Region 286",9,R,286,Ut,ROY
"Region 287",9,R,287,Ut,"HARRISVILLE, PLEASANT VIEW, WEBER COUNTY NORTH, WEBER HIGH AREA, NORTH OGDEN"
"Region 289",7,E,289,Ha,"HALEIWA, NORTH SHORE, SUNSET BEACH, WAIALUA"
"Region 29",10,V,29,Ca,"CANOGA PARK, RESEDA, WINNETKA"
"Region 290",11,S,290,Ca,"CHULA VISTA, NATIONAL CITY, SAN DIEGO (SOUTH), BONITA"
"Region 292",13,H,292,Pe,DANVILLE
"Region 293",13,Y,293,Pe,"COGAN STATION, LINDEN, WILLIAMSPORT, TROUT RUN"
"Region 294",10,A,294,Ca,"CALIENTE, KERN RIVER VALLEY, LAKE ISABELLA"
"Region 295",11,V,295,Ca,"ALPINE, DESCANSO, EL CAJON EAST, GUATAY, LAKESIDE, PINE VALLEY"
"Region 297",5,H,297,Al,"HOPE HULL, MAXWELL AFB, MAXWELL AFB-GUNTER A, MILLBROOK, MONTGOMERY, PIKE ROAD, PRATTVILLE, SHORTER, TUSKEGEE, WETUMPKA, GUNTER AFB, ECLECTIC, TALLASSEE"
"Region 298",8,E,298,Mi,"DOWAGIAC, MARCELLUS, SISTER LAKES, EAU CLAIRE, NILES, DECATUR, CASSOPOLIS"
